2025-12-11 16:51:42.795 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:387ms 登录成功
2025-12-11 16:51:42.851 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-12-11 16:51:42.884 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-12-11 16:51:43.338 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:28ms 获取对话历史成功
2025-12-11 16:51:44.904 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-12-11 16:51:45.322 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:28ms 管理员查询对话历史成功
2025-12-11 16:51:48.568 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-12-11 16:51:51.487 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-12-11 16:51:51.528 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:6ms 获取用户信息成功
2025-12-11 16:51:51.861 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:9ms 获取用户上传文件成功
2025-12-11 16:51:55.147 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:6ms 获取用户信息成功
2025-12-11 16:51:56.714 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-12-11 16:51:58.161 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-12-11 16:51:58.881 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:16ms 获取组织标签成功
2025-12-11 16:52:00.514 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-12-11 16:52:02.183 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-12-11 16:52:02.456 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:16ms 获取组织标签成功
2025-12-11 16:52:11.243 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [SET_PRIMARY_ORG] 耗时:47ms 设置主组织成功
2025-12-11 16:52:11.589 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:9ms 获取组织标签成功
2025-12-11 16:52:13.686 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-12-11 16:52:25.467 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-12-11 16:52:26.088 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:2ms 获取用户上传文件成功
2025-12-11 16:52:40.701 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-12-11 16:52:41.134 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:12ms 管理员查询对话历史成功
2025-12-11 16:52:42.824 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-12-11 16:52:43.194 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:5ms 获取对话历史成功
2025-12-11 16:55:07.605 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-12-11 16:55:07.870 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:12ms 管理员查询对话历史成功
