2026-03-14 23:31:45.902 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:27ms 分片上传成功
2026-03-14 23:31:46.187 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:58ms 文件合并成功
2026-03-14 23:31:50.276 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [DELETE_DOCUMENT] 耗时:41ms 文档删除成功
2026-03-14 23:31:50.647 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_ACCESSIBLE_FILES] 耗时:31ms 获取可访问文件成功
2026-03-14 23:31:57.306 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:33ms 分片上传成功
2026-03-14 23:31:57.701 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:48ms 文件合并成功
2026-03-14 23:32:14.894 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-14 23:32:15.592 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:7ms 获取对话历史成功
2026-03-14 23:32:17.878 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-14 23:32:21.605 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-14 23:32:22.778 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-14 23:32:23.056 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_ACCESSIBLE_FILES] 耗时:22ms 获取可访问文件成功
2026-03-14 23:37:22.071 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2026-03-14 23:37:22.453 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:20ms 管理员查询对话历史成功
2026-03-14 23:37:24.935 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2026-03-14 23:37:25.206 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:6ms 获取对话历史成功
2026-03-14 23:37:29.143 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2026-03-14 23:37:29.820 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_ACCESSIBLE_FILES] 耗时:18ms 获取可访问文件成功
2026-03-14 23:37:31.843 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2026-03-14 23:37:33.962 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2026-03-14 23:37:45.921 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2026-03-14 23:37:46.563 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:5ms 获取对话历史成功
2026-03-14 23:37:55.630 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-14 23:37:56.261 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:15ms 管理员查询对话历史成功
2026-03-14 23:37:57.399 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:1ms 获取用户信息成功
2026-03-14 23:37:58.069 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_ACCESSIBLE_FILES] 耗时:17ms 获取可访问文件成功
